"","id","accession","synonyms","category","disease","origin","geo","encode","omics"
"3792","HCC1395","CVCL_1249","HCC-1395; SCC-1395; Hamon Cancer Center 1395","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_1250 ! HCC1395 BL","GSM186714|GSM186715|GSM217572|GSM219969|GSM302884|GSM302885|GSM302886|GSM302887|GSM302888|GSM302889|GSM302890|GSM302891|GSM302892|GSM302893|GSM302894|GSM344377|GSM344427|GSM350539|GSM481302|GSM533401|GSM533408|GSM537971|GSM783934|GSM847321|GSM844543|GSM887037|GSM888107|GSM1008897|GSM1053698|GSM1172957|GSM1172863|GSM1214582|GSM1374496|GSM1374497|GSM1669843",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening|miRNA expression profiling|Glycoproteome analysis by proteomics"
"3793","HCC1395 BL","CVCL_1250","HCC-1395BL; HCC1395-BL; HCC1395BL; SCC-1395BL; Hamon Cancer Center 1395 BL","Transformed cell line","","CVCL_1249 ! HCC1395","GSM302883",NA,"SNP array analysis|Deep exome analysis"
"3794","HCC1419","CVCL_1251","HCC-1419; Hamon Cancer Center 1419","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM149984|GSM149992|GSM150000|GSM186716|GSM186717|GSM217573|GSM219874|GSM274661|GSM344371|GSM344421|GSM350553|GSM378145|GSM459729|GSM783940|GSM847322|GSM844544|GSM887038|GSM888108|GSM984231|GSM1053722|GSM1172864|GSM1374498|GSM1421430|GSM1669844",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling"
"3795","HCC1428","CVCL_1252","HCC-1428; Hamon Cancer Center 1428","Cancer cell line","NCIt; C5214; Breast adenocarcinoma","CVCL_1253 ! HCC1428 BL","GSM274666|GSM344373|GSM344423|GSM350510|GSM827277|GSM887039|GSM888109|GSM1008898|GSM1053693|GSM1172958|GSM1172865|GSM1214570|GSM1613822|GSM1669845",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|Glycoproteome analysis by proteomics"
"3796","HCC1438","CVCL_L088","HCC-1438; Hamon Cancer Center 1438","Cancer cell line","NCIt; C4450; Lung large cell carcinoma","","GSM794388",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3797","HCC15","CVCL_2057","HCC-15; HCC0015; Hamon Cancer Center 15","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","CVCL_L062 ! HCC15 BL","GSM62968|GSM108863|GSM108864|GSM253336|GSM434318|GSM784212|GSM784277|GSM794372|GSM827364|GSM887043|GSM888113|GSM1374499|GSM1669846|IGRhCellID=HCC15GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"3798","HCC1500","CVCL_1254","HCC-1500; Hamon Cancer Center 1500","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM217574|GSM219982|GSM344376|GSM344426|GSM350538|GSM459706|GSM783971|GSM887040|GSM888110|GSM984232|GSM1008899|GSM1053690|GSM1214571|GSM1374500|GSM1669847",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling"
"3799","HCC1569","CVCL_1255","HCC-1569; Hamon Cancer Center 1569","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM186718|GSM186719|GSM217575|GSM219971|GSM274679|GSM344381|GSM344431|GSM350503|GSM481315|GSM783966|GSM847323|GSM847474|GSM844545|GSM887041|GSM888111|GSM1053726|GSM1172959|GSM1172867|GSM1374501|GSM1374502|GSM1401674|GSM1669848",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling"
"3800","HCC1588","CVCL_A351","HCC-1588; Hamon Cancer Center 1588","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM1374503",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"3801","HCC1599","CVCL_1256","HCC-1599; Hamon Cancer Center 1599","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_1257 ! HCC1599 BL","GSM186720|GSM186721|GSM186722|GSM217612|GSM350526|GSM533402|GSM533409|GSM537972|GSM783935|GSM847324|GSM847481|GSM887042|GSM888112|GSM1053706|GSM1172868|GSM1401655|GSM1669849",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"3802","HCC1806","CVCL_1258","Hcc1806; HCC-1806; Hamon Cancer Center 1806","Cancer cell line","NCIt; C40359; Breast squamous cell carcinoma, acantholytic variant","","GSM217576|GSM219878|GSM344339|GSM344389|GSM350528|GSM378147|GSM783942|GSM847325|GSM847482|GSM844547|GSM844546|GSM887044|GSM888114|GSM1053713|GSM1172960|GSM1172869|GSM1374504|GSM1374505|GSM1669850",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|H3K9ac ChIP-seq epigenome analysis|CNV analysis|H3K4me3 ChIP-seq epigenome analysis|DNA methylation analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|CTCF ChIP-seq epigenome analysis|miRNA expression profiling|H3K4me2 ChIP-seq epigenome analysis|H4K20me1 ChIP-seq epigenome analysis|H2A.Z ChIP-seq epigenome analysis|Pol2 ChIP-seq epigenome analysis"
"3803","HCC1833","CVCL_5129","HCC-1833; Hamon Cancer Center 1833","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM62338|GSM171898|GSM171899|GSM253423|GSM434312|GSM794389|IGRhCellID=HCC1833_02GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"3804","HCC1897","CVCL_V578","HCC-1897; Hamon Cancer Center 1897","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM794390",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3805","HCC193","CVCL_5130","HCC-193; HCC0193; Hamon Cancer Center 193","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","CVCL_S838 ! HCC193 BL","GSM62334|GSM108865|GSM108866|GSM253372|GSM434260|GSM794377|IGRhCellID=HCC193GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3806","HCC1937","CVCL_0290","HCC-1937; HCC/1937; Hamon Cancer Center 1937","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_3281 ! HCC1937 BL","GSM155209|GSM185079|GSM185080|GSM186723|GSM217577|GSM219873|GSM274654|GSM344367|GSM344417|GSM350544|GSM378151|GSM421867|GSM459723|GSM481301|GSM533403|GSM533410|GSM537973|GSM783936|GSM783943|GSM847340|GSM887045|GSM888115|GSM1008900|GSM1053709|GSM1172961|GSM1172870|GSM1214588|GSM1238126|GSM1374506|GSM1374507|GSM1401668|GSM1669851|GSM2258902|GSM2258903|GSM2258904|GSM2258905|GSM2258906|GSM2258907|GSM2258908|GSM2258909|GSM2258910|GSM2258911|GSM2258912|GSM2258913|GSM2258914|GSM2258915|GSM2258916|GSM2258917|GSM2258918|GSM2258919|GSM2258926|GSM2258927|GSM2258928",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|H3K9ac ChIP-seq epigenome analysis|CNV analysis|H3K4me3 ChIP-seq epigenome analysis|Deep proteome analysis|DNA methylation analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling|HLA class I peptidome analysis by proteomics|H2BK120ub ChIP-seq epigenome analysis|H3K23ac ChIP-seq epigenome analysis|H3K79me2 ChIP-seq epigenome analysis|H4K8ac ChIP-seq epigenome analysis|Metabolome analysis|Glycoproteome analysis by proteomics"
"3807","HCC1954","CVCL_1259","HCC-1954; Hamon Cancer Center 1954","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_1260 ! HCC1954 BL","GSM185081|GSM185082|GSM186724|GSM217578|GSM219962|GSM274675|GSM303673|GSM303675|GSM303680|GSM303682|GSM303684|GSM303687|GSM303689|GSM303691|GSM303695|GSM303698|GSM303700|GSM303704|GSM303707|GSM303709|GSM303712|GSM303715|GSM303719|GSM303721|GSM303723|GSM303726|GSM303729|GSM303731|GSM303735|GSM303738|GSM303740|GSM303742|GSM303745|GSM303747|GSM303750|GSM303753|GSM303754|GSM303760|GSM303762|GSM303766|GSM303769|GSM303770|GSM303775|GSM303777|GSM303780|GSM303784|GSM303786|GSM303789|GSM337683|GSM337684|GSM337685|GSM337686|GSM337687|GSM337688|GSM337689|GSM337690|GSM337691|GSM337692|GSM337693|GSM337694|GSM337695|GSM344374|GSM344424|GSM350499|GSM481299|GSM718290|GSM783937|GSM847341|GSM847483|GSM887046|GSM888116|GSM1008901|GSM1053712|GSM1172962|GSM1172871|GSM1215272|GSM1374508|GSM1374509|GSM1401665|GSM1669852|GSM2258830|GSM2258831|GSM2258832|GSM2258833|GSM2258834|GSM2258835|GSM2258836|GSM2258837|GSM2258838|GSM2258839|GSM2258840|GSM2258841|GSM2258842|GSM2258843|GSM2258844|GSM2258845|GSM2258846|GSM2258847|GSM2258929|GSM2258930|GSM2258931|GSM3258551",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|H3K9ac ChIP-seq epigenome analysis|CNV analysis|H3K4me3 ChIP-seq epigenome analysis|DNA methylation analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening|miRNA expression profiling|H2BK120ub ChIP-seq epigenome analysis|H3K23ac ChIP-seq epigenome analysis|H3K79me2 ChIP-seq epigenome analysis|H4K8ac ChIP-seq epigenome analysis|Glycoproteome analysis by proteomics|Hi-C chromosome conformation analysis"
"3808","HCC1954-LCC1","CVCL_VR25","HCC1954 LCC1; HCC1954-Latency Competent Cancer 1","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM1875310|GSM1875311|GSM1875317|GSM1875318",NA,"Transcriptome analysis by RNAseq"
"3809","HCC1954-LCC2","CVCL_VR26","HCC1954 LCC2; HCC1954-Latency Competent Cancer 2","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM1875312|GSM1875313|GSM1875319|GSM1875320|GSM2066432|GSM2066436|GSM2066440",NA,"Transcriptome analysis by RNAseq|H3K27ac ChIP-seq epigenome analysis"
"3810","HCC1954-LeptoM","CVCL_XA23","HCC1954 LeptoM","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM2194092|GSM2194093|GSM2194094",NA,"Transcriptome analysis by RNAseq"
"3811","HCC1954-TGL","CVCL_VR24","HCC1954-HSV1-TK/GFP/Fluc","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM1875307|GSM1875308|GSM1875309|GSM1875314|GSM1875315|GSM1875316|GSM2066431|GSM2066435|GSM2066439|GSM2194085|GSM2194086|GSM2194087",NA,"Transcriptome analysis by RNAseq|H3K27ac ChIP-seq epigenome analysis"
"3812","HCC202","CVCL_2062","HCC-202; HCC0202; Hamon Cancer Center 202","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM186725|GSM186726|GSM344369|GSM344419|GSM350515|GSM783972|GSM827455|GSM847342|GSM847484|GSM844089|GSM887047|GSM888117|GSM1053699|GSM1172963|GSM1172872|GSM1374510|GSM1669853",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|miRNA expression profiling"
"3813","HCC2108","CVCL_A352","HCC-2108; Hamon Cancer Center 2108","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM794391",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3814","HCC2157","CVCL_1261","Hamon Cancer Center 2157","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_1262 ! HCC2157 BL","GSM350525|GSM783938|GSM847343|GSM847485|GSM887048|GSM888118|GSM1669854",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"3815","HCC2185","CVCL_3375","HCC-2185; HCC 2185; Hamon Cancer Center 2185","Cancer cell line","NCIt; C76328; Metastatic breast lobular carcinoma","","GSM350519|GSM1053696|GSM1172964",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays"
"3816","HCC2218","CVCL_1263","HCC-2218; Hamon Cancer Center 2218","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_1264 ! HCC2218 BL","GSM155211|GSM185083|GSM185084|GSM186727|GSM274676|GSM344375|GSM344425|GSM350520|GSM533404|GSM533411|GSM537974|GSM783939|GSM847344|GSM847486|GSM844548|GSM887049|GSM888119|GSM1053718|GSM1172965|GSM1172873|GSM1661980|GSM1669855",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening"
"3817","HCC2279","CVCL_5131","HCC-2279; Hamon Cancer Center 2279","Cancer cell line","NCIt; C9133; Lung adenosquamous carcinoma","","GSM63348|GSM108867|GSM108868|GSM253421|GSM434283|GSM794392|GSM887050|GSM888120|IGRhCellID=HCC2279GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3818","HCC2302","CVCL_V636","Hamon Cancer Center 2302","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM1682812",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"3819","HCC2374","CVCL_A353","HCC-2374; Hamon Cancer Center 2374","Cancer cell line","NCIt; C4450; Lung large cell carcinoma","","GSM794393",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3820","HCC2429","CVCL_5132","HCC-2429; Hamon Cancer Center 2429","Cancer cell line","NCIt; C2926; Lung non-small cell carcinoma|NCIt; C45716; NUT carcinoma|ORDO; Orphanet_443167; NUT midline carcinoma","CVCL_V989 ! HCC2429 BL","GSM171900|GSM171901|GSM253412|GSM434319|GSM794394|IGRhCellID=HCC2429GEO",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3821","HCC2450","CVCL_5133","HCC-2450; Hamon Cancer Center 2450","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM62970|GSM171902|GSM171903|GSM253431|GSM434320|GSM794395|IGRhCellID=HCC2450GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays|miRNA expression profiling"
"3822","HCC2688","CVCL_3376","Hamon Cancer Center 2688","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM350545",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CNV analysis"
"3823","HCC2814","CVCL_V586","HCC-2814; Hamon Cancer Center 2814","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM794396",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays|shRNA library screening"
"3824","HCC2935","CVCL_1265","HCC-2935; Hamon Cancer Center 2935","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM108869|GSM108870|GSM253407|GSM434284|GSM794397|GSM844549|GSM887051|GSM888121|IGRhCellID=HCC2935GEO",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|Protein expression by reverse-phase protein arrays"
"3825","HCC2998","CVCL_1266","HCC-2998; HCC.2998; HCC 2998; Hamon Cancer Center 2998","Cancer cell line","NCIt; C4349; Colon adenocarcinoma","","GSM2146|GSM50187|GSM50251|GSM743442|GSM750796|GSM799330|GSM799393|GSM846354|GSM844550|GSM844551|GSM1153401|GSM1178115|GSM1178116|GSM1178117|GSM1181249|GSM1181265|GSM1346873|GSM1448169|GSM1669856|GSM2124654|GSM2550000",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|CNV analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|Deep quantitative phosphoproteome analysis|Fluorescence phenotype profiling|lncRNA expression profiling|Metabolome analysis"
"3826","HCC3051","CVCL_V582","Hamon Cancer Center 3051","Cancer cell line","NCIt; C4450; Lung large cell carcinoma","","GSM794398",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3827","HCC3153","CVCL_3377","HCC 3153; HCC-3153; Hamon Cancer Center 3153","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM350507|GSM1053691|GSM1172966|GSM1172874|GSM3145709",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays"
"3828","HCC33","CVCL_2058","HCC-33; HCC0033; Hamon Cancer Center 33","Cancer cell line","NCIt; C4917; Lung small cell carcinoma|ORDO; Orphanet_70573; Small cell lung cancer","CVCL_L063 ! HCC33 BL","GSM171904|GSM171905|GSM794373|GSM887052|GSM888122|GSM1669857",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"3829","HCC364","CVCL_5134","HCC0364; HCC-364; Hamon Cancer Center 364","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM434285|GSM794378|IGRhCellID=HCC364GEO",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays|shRNA library screening"
"3830","HCC366","CVCL_2059","HCC-366; HCC0366; Hamon Cancer Center 366","Cancer cell line","NCIt; C9133; Lung adenosquamous carcinoma","CVCL_M077 ! HCC366 BL","GSM62335|GSM108871|GSM108872|GSM253363|GSM434261|GSM784223|GSM794379|GSM827365|GSM887053|GSM888123|GSM1669858|GSM2807229|GSM2807230|IGRhCellID=HCC366_02GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling"
"3831","HCC38","CVCL_1267","Hcc38; HCC-38; HCC 38; HCC0038; Hamon Cancer Center 38","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","CVCL_1268 ! HCC38 BL","GSM149979|GSM149987|GSM149995|GSM185085|GSM185086|GSM217579|GSM344382|GSM344432|GSM350536|GSM378150|GSM533398|GSM533405|GSM537968|GSM783968|GSM827244|GSM847390|GSM847487|GSM844013|GSM854621|GSM854622|GSM854623|GSM854624|GSM854625|GSM887054|GSM888124|GSM1008902|GSM1053702|GSM1172967|GSM1172875|GSM1214580|GSM1215289|GSM1215291|GSM1215293|GSM1215294|GSM1215292|GSM1215290|GSM1215295|GSM1215296|GSM1374511|GSM1401651|GSM1669859",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|miRNA expression profiling|Glycoproteome analysis by proteomics"
"3832","HCC38 BL","CVCL_1268","HCC-38BL; HCC38-BL; HCC 38BL; HCC38BL; Hamon Cancer Center 38 BL","Transformed cell line","","CVCL_1267 ! HCC38","GSM854626|GSM1172968",NA,"SNP array analysis|Deep exome analysis"
"3833","HCC4006","CVCL_1269","HCC-4006; Hamon Cancer Center 4006","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM63351|GSM108873|GSM108874|GSM253408|GSM434286|GSM794399|GSM844552|GSM887055|GSM888125|IGRhCellID=HCC4006GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|Protein expression by reverse-phase protein arrays"
"3834","HCC4011","CVCL_S700","Hamon Cancer Center 4011","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM794400",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3835","HCC4017","CVCL_V579","Hamon Cancer Center 4017","Cancer cell line","NCIt; C4450; Lung large cell carcinoma","","GSM794401",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3836","HCC4018","CVCL_V580","Hamon Cancer Center 4018","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM794402",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3837","HCC4019","CVCL_V581","Hamon Cancer Center 4019","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM794403",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3838","HCC44","CVCL_2060","HCC-44; HCC0044; Hamon Cancer Center 44","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","CVCL_L065 ! HCC44 BL","GSM108875|GSM108876|GSM253314|GSM434321|GSM794374|GSM827372|GSM887056|GSM888126|GSM1669860|IGRhCellID=HCC44GEO",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening"
"3839","HCC461","CVCL_5135","HCC0461; Hamon Cancer Center 461","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM62336|GSM108877|GSM108878|GSM253392|GSM434262|GSM794380|IGRhCellID=HCC461GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3840","HCC515","CVCL_5136","HCC-515; HCC0515; Hamon Cancer Center 515","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","CVCL_S839 ! HCC515 BL","GSM108879|GSM108880|GSM253364|GSM434263|GSM794381",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"3841","HCC70","CVCL_1270","HCC-70; HCC 70; HCC0070; Hamon Cancer Center 70","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM217580|GSM344372|GSM344422|GSM350500|GSM718288|GSM783941|GSM847391|GSM844014|GSM844015|GSM887058|GSM888128|GSM1053711|GSM1172969|GSM1172876|GSM1374512|GSM1401660|GSM1669862",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening|miRNA expression profiling|Glycoproteome analysis by proteomics"
"3842","HCC712","CVCL_3378","HCC0712; Hamon Cancer Center 712","Cancer cell line","NCIt; C4017; Breast ductal carcinoma","","GSM350512|GSM378144",NA,"Transcriptome analysis by microarray|CNV analysis"
"3843","HCC78","CVCL_2061","HCC-78; HCC0078; Hamon Cancer Center 78","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","CVCL_L064 ! HCC78 BL","GSM62333|GSM108881|GSM108882|GSM253403|GSM434264|GSM784275|GSM794375|GSM827373|GSM887059|GSM888129|GSM1669863|GSM7675391|GSM7675392|GSM7675393|GSM7675394|GSM7675395|GSM7675396|IGRhCellID=HCC78GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"3844","HCC827","CVCL_2063","HCC-827; HCC 827; HCC0827; Hamon Cancer Center 827","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","CVCL_S840 ! HCC827 BL","GSM63350|GSM108883|GSM108884|GSM183436|GSM183437|GSM253425|GSM434274|GSM466319|GSM513969|GSM514323|GSM784276|GSM794382|GSM827206|GSM844553|GSM887060|GSM888130|GSM935083|GSM938752|GSM938753|GSM938754|GSM938755|GSM938756|GSM938757|GSM1557132|GSM1669864|IGRhCellID=HCC827GEO",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|shRNA library screening"
"3845","HCC827 ER1","CVCL_EJ07","HCC827-ER1; HCC 827 ER1; ER1","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM935084",NA,"Transcriptome analysis by microarray"
"3846","HCC827 ER2","CVCL_EJ08","HCC 827 ER2; ER2","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM935085",NA,"Transcriptome analysis by microarray"
